# Country|Year|IPs|ASNs|Cumulative IPs|Cumulative ASNs|GDP 
LS|2003|0|0|4096|1|969181550.992505
LS|2007|0|0|6400|3|1597484735.65523
LS|2000|0|0|0|0|771200632.484425
LS|2001|0|0|0|0|706430933.003007
LS|1979|0|0|0|0|290134729.683747
LS|1978|0|0|0|0|266569999.7682
LS|1977|0|0|0|0|193314999.8319
LS|1976|0|0|0|0|147659999.8716
LS|1975|0|0|0|0|149558945.403731
LS|1974|0|0|0|0|150851315.734636
LS|1973|0|0|0|0|121188698.642069
LS|1972|0|0|0|0|80915356.8286738
LS|1971|0|0|0|0|76480285.1113442
LS|1970|0|0|0|0|68739972.531507
LS|2008|6144|1|12544|4|1630667593.27628
LS|2009|2048|0|14592|4|1716836000.19013
LS|1999|0|0|0|0|801540664.712419
LS|1998|0|0|0|0|819422421.755032
LS|2002|4096|1|4096|1|656802669.110291
LS|1994|0|0|0|0|755041471.894349
LS|1997|0|0|0|0|859816180.473144
LS|1996|0|0|0|0|815937450.997912
LS|1991|0|0|0|0|608767923.978249
LS|1990|0|0|0|0|544578771.154847
LS|1993|0|0|0|0|721599288.030197
LS|1992|0|0|0|0|720543405.435398
LV|2010|103888|22|1547680|207|24009680459.9868
LV|1987|0|0|0|0|5715853652.87783
LV|2005|274688|23|908128|94|16041840426.2666
LV|1988|0|0|0|0|6827011058.96701
LV|1989|0|0|0|0|7690315589.14665
LV|1995|0|0|0|0|5235719778.6716
LV|2003|33792|7|486656|64|11186452600.7262
LV|1999|16896|6|194304|17|7288524472.50101
LV|1997|32768|5|144640|10|6133234179.75373
LV|2001|142336|17|367360|43|8313047743.57121
LV|1991|0|0|0|0|6756418263.69451
LV|2004|146784|7|633440|71|13761569544.9926
LV|2007|204608|25|1257376|138|28765687041.6504
LV|2008|108480|27|1365856|165|33669367720.4659
LV|2009|77936|20|1443792|185|25875781250
LV|2011|69936|28|1617616|235|28480338367.6157
LV|1998|32768|1|177408|11|6616957681.24198
LV|2012|77933|25|1695549|260|28372577696.5265
LV|2002|85504|14|452864|57|9314784080.02692
LV|1994|0|0|75008|1|5060854731.05477
LV|2000|30720|9|225024|26|7833068425.39159
LV|1996|36864|4|111872|5|5585292782.56922
LV|2006|144640|19|1052768|113|19935046397.2163
LV|1990|0|0|0|0|7447002856.7553
LV|1993|75008|1|75008|1|4467987271.30202
LV|1992|0|0|0|0|4848056772.31365
HT|1993|0|0|0|0|1806285587.04556
HT|2012|592|1|124864|11|7843484458.14557
HT|1995|0|0|0|0|2695499730.33928
HT|1994|0|0|0|0|2124933516.02791
HT|1999|0|1|0|2|4088703119.65814
HT|2000|8192|0|8192|2|3664503845.56892
HT|1992|0|0|0|0|2111405825.68328
HT|1996|0|0|0|0|2970865202.66312
HT|1991|0|0|0|0|3476346281.35777
HT|2008|12288|0|45088|7|6407707284.45521
HT|2009|12592|1|57680|8|6470254240.08231
HT|2011|8192|0|124272|10|7346156702.64438
HT|2010|58400|2|116080|10|6634579143.36112
HT|1998|0|0|0|1|3757500381.22703
HT|2002|0|0|0|0|3214632478.63248
HT|2003|0|0|0|0|2826481071.96147
HT|1997|0|1|0|1|3242667331.21432
HT|2001|0|0|8192|2|3507981945.53618
HT|2006|0|0|28704|7|4879738635.95586
HT|2007|4096|0|32800|7|5971284337.50737
HT|2004|20480|1|28672|3|3660483885.68707
HT|2005|32|4|28704|7|4154289832.39201
LT|1993|1024|1|66560|1|7424597884.34971
LT|2012|79197|5|2308365|116|42343521965.7483
LT|1995|8448|2|92160|3|7904895790.98773
LT|1994|17152|0|83712|1|6958636949.80629
LT|1999|16384|4|247808|17|10971375000
LT|1997|90112|3|223232|10|10128700000
LT|1992|65536|0|65536|0|8562311026.88874
LT|1996|40960|4|133120|7|8426600000
LT|1991|0|0|0|0|10287023246.234
LT|1990|0|0|0|0|10506695073.8054
LT|2008|42528|11|2061968|90|47252926428.6698
LT|2009|95264|7|2157232|97|36846183172.3027
LT|2011|46560|7|2229168|111|42872072870.904
LT|2010|25376|7|2182608|104|36306384146.1075
LT|1998|8192|3|231424|13|11254050000
LT|2002|70144|12|351776|39|14163949141.8999
LT|2003|74496|5|426272|44|18608709856.5781
LT|2000|17152|5|264960|22|11434200000
LT|2001|16672|5|281632|27|12159225000
LT|2006|294400|5|1367616|66|30088510798.0993
LT|2007|651824|13|2019440|79|39103973050.6292
LT|2004|213536|10|639808|54|22551543054.4565
LT|2005|433408|7|1073216|61|25962254180.8029
LU|2005|57344|3|1020829|23|37643013480.575
LU|2004|130048|0|963485|20|34077095478.4477
LU|1968|0|0|0|0|1066447130.82052
LU|1969|0|0|0|0|1234878980.502
LU|1964|0|0|0|0|903158753.943622
LU|1965|0|0|0|0|921600736.304026
LU|1966|0|0|0|0|968440149.470951
LU|1967|0|0|0|0|974721762.535327
LU|1961|0|0|0|0|704145671.350213
LU|1962|0|0|0|0|741509480.796284
LU|1963|0|0|0|0|791140595.772755
LU|2006|3072|2|1023901|25|42544669010.8776
LU|2011|13296|10|1315933|55|57957916666.6667
LU|2010|33696|7|1302637|45|51713947368.4211
LU|2012|12352|2|1328285|57|55178452044.2273
LU|1982|0|0|0|0|4562651737.00801
LU|1983|0|0|0|0|4485226128.18546
LU|1980|0|0|0|0|5967924324.03614
LU|1981|0|0|0|0|5010110735.74331
LU|1986|0|0|0|0|6627975486.88712
LU|1987|0|0|0|0|8249188099.76451
LU|1984|0|0|0|0|4400183010.95008
LU|1985|0|0|0|0|4537763200.38157
LU|1988|0|0|0|0|9336997885.61073
LU|1989|256|0|256|0|9951164658.26656
LU|1995|27136|0|636416|1|20673371647.5096
LU|2003|3168|1|833437|20|29144582392.7765
LU|2007|61984|4|1085885|29|51320626630.4244
LU|2000|12544|3|781312|10|20267551133.2228
LU|2001|25856|4|807168|14|20196868008.9485
LU|1979|0|0|0|0|5469434739.58235
LU|1978|0|0|0|0|4677872752.87236
LU|1977|0|0|0|0|3756663105.11639
LU|1976|0|0|0|0|3394079657.23921
LU|1975|0|0|0|0|3096414882.44656
LU|1974|0|0|0|0|3156198933.6055
LU|1973|0|0|0|0|2587382707.69984
LU|1972|0|0|0|0|1885307918.58925
LU|1971|0|0|0|0|1505684112.92952
LU|1970|0|0|0|0|1445204630.64758
LU|2008|76448|4|1162333|33|54742739956.7876
LU|2009|106608|5|1268941|38|49420776474.8702
LU|1999|17664|2|768768|7|21185382484.5515
LU|1998|8192|2|751104|5|19351522560.569
LU|2002|23101|5|830269|19|22568793525.3153
LU|1994|5888|0|609280|1|17549235946.3593
