BE|20130101|35072|0
FR|20130101|16780800|0
DM|20130101|5120|3
BB|20130101|148224|8
BL|20130101|44|1
BM|20130101|92768|15
DE|20130101|16787456|1
JP|20130101|124672|1
JM|20130101|201856|9
VC|20130101|18464|1
BS|20130101|121952|5
FI|20130101|65536|0
PR|20130101|1002368|56
NL|20130101|77568|0
LC|20130101|256|0
NO|20130101|75520|0
TW|20130101|1072|0
*|20130101|48650|21735
LU|20130101|768|0
AT|20130101|512|0
TC|20130101|10240|2
PM|20130101|4096|1
GU|20130101|65792|0
CH|20130101|133376|0
AG|20130101|60416|5
VG|20130101|13312|4
AI|20130101|4096|1
VI|20130101|88096|6
CA|20130101|79869533|1562
IT|20130101|1536|0
CZ|20130101|393472|1
GD|20130101|8512|3
AU|20130101|8704|0
GB|20130101|626688|6
GP|20130101|4128|2
IE|20130101|512|0
ES|20130101|768|1
MF|20130101|7168|1
HK|20130101|2560|0
KN|20130101|58400|13
US|20130101|1562503280|22027
UM|20130101|0|1
KR|20130101|16384|0
AR|20130101|0|1
MS|20130101|1280|0
KY|20130101|37984|7
SG|20130101|256|2
MX|20130101|32|0
SE|20130101|29184|0
IL|20130101|256|1
